sname_0,name_1,mother_2,birthday_3,birthmonth_4,birthdate_5,matgroup_6,currentgroup_7,sex_8,birthyear_9,mom_10,dad_11,father_12,conceptiondate_13,concepday_14,conceptmonth_15,conceptyear_16,momgrp_17,dadgrp_18
ALT,ALTO    ,unknown ,23,FEB,23/02/1959,Alto's   ,unknown  ,Female  ,1959,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
RIN,RING    ,unknown ,24,FEB,24/02/1959,Alto's   ,unknown  ,Female  ,1959,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
BJX,BJ      ,unknown ,29,DEC,29/12/1960,immigrant,unknown  ,Male    ,1960,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
COW,COWLICK ,unknown ,29,DEC,29/12/1960,immigrant,unknown  ,Male    ,1960,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
DUT,DUTCH   ,unknown ,29,DEC,29/12/1960,immigrant,unknown  ,Male    ,1960,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
IVA,IVAN    ,unknown ,29,DEC,29/12/1960,immigrant,unknown  ,Male    ,1960,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
MAX,MAX     ,unknown ,29,DEC,29/12/1960,immigrant,unknown  ,Male    ,1960,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
PET,PETER   ,unknown ,29,DEC,29/12/1960,immigrant,unknown  ,Male    ,1960,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
SIN,SINISTER,unknown ,29,DEC,29/12/1960,immigrant,unknown  ,Male    ,1960,unknown,unknown, ------,DDMMMYYYY,DD,MMM,YYYY,unknown,unknown
EST,ESTE    ,unknown ,23,FEB,23/02/1961,Alto's   ,unknown  ,Female  ,1961,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
JAN,JANE    ,unknown ,23,FEB,23/02/1961,Alto's   ,unknown  ,Female  ,1961,unknown,unknown, ------,unknown,DD,MMM,YYYY,unknown,unknown
